,count,mean,std,min,1%,5%,25%,50%,75%,95%,99%,max,skew,kurt
ITVvar,1214.0,-0.019576625118155392,0.12892254486042165,-0.5063844945218419,-0.336301005424558,-0.2406495806078415,-0.10853107077619926,-0.014146391630540215,0.07010530362320481,0.18130436606952702,0.2685154353420728,0.32976280256952784,-0.18892146013373567,-0.09540447326986223
sigpre,1214.0,0.49750055276715155,0.09877344555437007,0.0,0.2705896805896806,0.3333333333333333,0.43333333333333335,0.5,0.5652173913043478,0.6604761904761896,0.7222222222222222,0.8421052631578947,-0.1125464205520731,0.3912425368281922
sigpre30,1214.0,0.49766024553161886,0.02218160555158636,0.4251252462707571,0.4375578637371089,0.4542057768690307,0.48626321697136654,0.4993910515257287,0.5119150133580688,0.532690116275871,0.5411652265511041,0.5494389006391586,-0.5020214667084805,0.2681200274173361
dolsha,1214.0,0.4965622588400631,0.03067527866021945,0.4152040439511138,0.4293700094277167,0.43750732934321385,0.47832817512672754,0.4992507135151289,0.5178542774907646,0.5438962824966316,0.5571716754037349,0.5980443446733198,-0.2942703002832509,-0.2712624250526101
dolsha30,1214.0,0.49709822761428263,0.02764458405327166,0.43626581199423986,0.4375765665722619,0.43967761373389647,0.48175794023354485,0.503048698551307,0.5171416273122921,0.536076181081151,0.5427945477898621,0.5980443446733198,-0.5511002088254703,-0.3169478848486711
qzenergy,1214.0,0.0003530399867257513,0.01658018874337102,-0.08639900348807572,-0.05109185966011919,-0.025923981120078033,-0.008091421218696881,0.0003836621376245297,0.008992436127206904,0.027395052070327164,0.04479645411758789,0.05995094404308965,-0.2887563866029605,2.3830672776781423
qzenergy_abs,1214.0,0.01196555490352974,0.011477580808173694,2.3163214639687624e-05,0.00014838007601214898,0.0007320452510767518,0.003775034254459353,0.008498767540984442,0.016671943157489766,0.03455329958720011,0.054311604665118696,0.08639900348807572,1.8715811082323162,4.799131027213717
qzenergy_garch,1214.0,1.5686923490449094,0.44474985339712386,1.0359749015451791,1.0711352076570029,1.1228089963021433,1.251964611992132,1.4346927928047208,1.7389678137974982,2.4998262027446505,3.1052125904818357,3.57329893817776,1.6023590971816912,2.635564323883364
iVX,1214.0,20.30188927991042,4.094504528747503,12.16967565644401,13.629238326281797,14.828702485323653,17.57696588914532,19.578422503850923,22.341203044538396,28.983240737510076,32.654245562297916,37.893512959691,1.011509935122832,1.183580871531844
FirmBondAA10Y,1214.0,4.827424464579901,0.4752997448509744,3.8721,4.003251000000001,4.094815,4.480625,4.7864,5.149975,5.648045,5.871889999999999,5.9313,0.21227906267718638,-0.796830965320177
ChBond10Y,1214.0,2.946702388797364,0.22065671850671978,2.5299,2.569869,2.62993,2.76445,2.89595,3.158075,3.2889,3.3728709999999995,3.4625,0.163762891119756,-1.1801819319775286
ChBond3M,1214.0,2.1285737232289947,0.33787748306579724,1.0032,1.100833,1.62997,1.9266,2.1506999999999996,2.358375,2.61191,2.858886999999999,2.999,-0.5060961059963516,0.7462550276531794
R6M,1214.0,3.1861986820428334,1.1588963971976383,1.4413,1.8,2.05,2.5237,2.85,3.4,5.021944999999994,7.5,12.0,2.6763391953714835,11.032671914392987
