,p01,p99
ITVvar,-0.336301005424558,0.2685154353420728
sigpre,0.2705896805896806,0.7222222222222222
sigpre30,0.4375578637371089,0.5411652265511041
dolsha,0.4293700094277167,0.5571716754037349
dolsha30,0.4375765665722619,0.5427945477898621
qzenergy,-0.05109185966011919,0.04479645411758789
qzenergy_abs,0.00014838007601214898,0.054311604665118696
qzenergy_garch,1.0711352076570029,3.1052125904818357
iVX,13.629238326281797,32.654245562297916
FirmBondAA10Y,4.003251000000001,5.871889999999999
ChBond10Y,2.569869,3.3728709999999995
ChBond3M,1.100833,2.858886999999999
R6M,1.8,7.5
